Timestamp_ns,EventTag,Ticker,TraceID
1755024627820881877,T5_order_request_queue_pop,000001,16
1755024627820897238,T6_onorderevent,000001,16
1755024635843266222,T1_MD_received,000001,17
1755024635843321597,T2_market_signal_queue_push,000001,17
1755024635843362053,T3_market_signal_queue_pop,000001,17
1755024635843440197,T4_order_created,000001,17
1755024635843482202,T5_order_request_queue_pop,000001,17
1755024635843502153,T6_onorderevent,000001,17
1755024639736055703,T1_MD_received,600000,18
1755024639736083041,T2_market_signal_queue_push,600000,18
1755024639736132143,T3_market_signal_queue_pop,600000,18
1755024639736199412,T4_order_created,600000,18
1755024639736463634,T5_order_request_queue_pop,600000,18
1755024639736485706,T6_onorderevent,600000,18
1755024645795878848,T1_MD_received,000001,19
1755024645795904986,T2_market_signal_queue_push,000001,19
1755024645795954169,T3_market_signal_queue_pop,000001,19
1755024645796009989,T4_order_created,000001,19
1755024645796053852,T5_order_request_queue_pop,000001,19
1755024645796350617,T6_onorderevent,000001,19
1755024653738197780,T1_MD_received,600000,20
1755024653738226052,T2_market_signal_queue_push,600000,20
1755024653738275466,T3_market_signal_queue_pop,600000,20
1755024653738330878,T4_order_created,600000,20
1755024653738365181,T5_order_request_queue_pop,600000,20
1755024653738383337,T6_onorderevent,600000,20
1755024653855906245,T1_MD_received,000001,21
1755024653855927162,T2_market_signal_queue_push,000001,21
1755024653855973088,T3_market_signal_queue_pop,000001,21
1755024653856024938,T4_order_created,000001,21
1755024653856244431,T5_order_request_queue_pop,000001,21
1755024653856262222,T6_onorderevent,000001,21
1755024663801498480,T1_MD_received,000001,22
1755024663801526230,T2_market_signal_queue_push,000001,22
1755024663801574368,T3_market_signal_queue_pop,000001,22
1755024663801630829,T4_order_created,000001,22
1755024663801664254,T5_order_request_queue_pop,000001,22
1755024663801884707,T6_onorderevent,000001,22
1755024667741257496,T1_MD_received,600000,23
1755024667741281440,T2_market_signal_queue_push,600000,23
1755024667741326989,T3_market_signal_queue_pop,600000,23
1755024667741384645,T4_order_created,600000,23
1755024667741635111,T5_order_request_queue_pop,600000,23
1755024667741652864,T6_onorderevent,600000,23
1755024671800313700,T1_MD_received,000001,24
1755024671800339120,T2_market_signal_queue_push,000001,24
1755024671800386522,T3_market_signal_queue_pop,000001,24
1755024671800468070,T4_order_created,000001,24
1755024671800502320,T5_order_request_queue_pop,000001,24
1755024671800722192,T6_onorderevent,000001,24
1755024679737926563,T1_MD_received,600000,25
1755024679737953641,T2_market_signal_queue_push,600000,25
1755024679737998769,T3_market_signal_queue_pop,600000,25
1755024679738062029,T4_order_created,600000,25
1755024679738300820,T5_order_request_queue_pop,600000,25
1755024679738320594,T6_onorderevent,600000,25
1755024679827755614,T1_MD_received,000001,26
1755024679827804884,T2_market_signal_queue_push,000001,26
1755024679827852759,T3_market_signal_queue_pop,000001,26
1755024679827893777,T4_order_created,000001,26
1755024679827919637,T5_order_request_queue_pop,000001,26
1755024679827936558,T6_onorderevent,000001,26
1755024689756843830,T1_MD_received,600000,27
1755024689756872152,T2_market_signal_queue_push,600000,27
1755024689756921051,T3_market_signal_queue_pop,600000,27
1755024689756987184,T4_order_created,600000,27
1755024689757218342,T5_order_request_queue_pop,600000,27
1755024689757236722,T6_onorderevent,600000,27
1755024689811964822,T1_MD_received,000001,28
1755024689811985029,T2_market_signal_queue_push,000001,28
1755024689812028162,T3_market_signal_queue_pop,000001,28
1755024689812070932,T4_order_created,000001,28
1755024689812096921,T5_order_request_queue_pop,000001,28
1755024689812114952,T6_onorderevent,000001,28
1755024697851675367,T1_MD_received,000001,29
1755024697851703752,T2_market_signal_queue_push,000001,29
1755024697851753589,T3_market_signal_queue_pop,000001,29
1755024697851810431,T4_order_created,000001,29
1755024697851844502,T5_order_request_queue_pop,000001,29
1755024697852089341,T6_onorderevent,000001,29
1755024701755341601,T1_MD_received,600000,30
1755024701755367741,T2_market_signal_queue_push,600000,30
1755024701755436072,T3_market_signal_queue_pop,600000,30
1755024701755500147,T4_order_created,600000,30
1755024701755735357,T5_order_request_queue_pop,600000,30
1755024701755753902,T6_onorderevent,600000,30
1755024707864320833,T1_MD_received,000001,31
1755024707864347231,T2_market_signal_queue_push,000001,31
1755024707864396243,T3_market_signal_queue_pop,000001,31
1755024707864489599,T4_order_created,000001,31
1755024707864813392,T5_order_request_queue_pop,000001,31
1755024707864826509,T6_onorderevent,000001,31
